txtDescricao;numAno;vlrDocumento;vlrGlosa;vlrLiquido;codLegislatura
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2014;18971888.29;253208.46;18586347.62;1011744
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2013;18926971.57;219778.83;18458128.44;1101114
COMBUSTÍVEIS E LUBRIFICANTES.;2017;18730514.76;275504.81;18430093.82;3870405
TELEFONIA;2014;18208298.006816;268004.41;17832801.63;4054104
COMBUSTÍVEIS E LUBRIFICANTES.;2018;18114457.28;357611.6;17721817.42;3390475
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2012;18101822.75;510790.15;17537934.81;1136970
LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;2014;18018958.24;185136.01;17470306.81;235818
COMBUSTÍVEIS E LUBRIFICANTES.;2015;17617053.97;256057.85;17264227.4;4093689
PASSAGEM AÉREA - RPA;2009;14931681.82;0.0;16686751.0;1563447
COMBUSTÍVEIS E LUBRIFICANTES.;2011;17081024.69;447948.95;16589018.58;4187139
COMBUSTÍVEIS E LUBRIFICANTES.;2010;17101913.48;512654.37;16521614.59;4064517
COMBUSTÍVEIS E LUBRIFICANTES.;2019;16786864.69;245456.58000000002;16505822.75;3619644
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2011;16591894.43;404423.9;16188040.89;1163656
COMBUSTÍVEIS E LUBRIFICANTES.;2012;16571091.44;387743.11;16133980.04;3899016
COMBUSTÍVEIS E LUBRIFICANTES.;2013;16536977.02;365084.45;16070418.56;3754188
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2010;15978539.98;306529.6;15672010.45;1174692
COMBUSTÍVEIS E LUBRIFICANTES.;2021;15815391.04;174138.95;15629701.16;3059784
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2010;15834747.28;209641.32;15625106.02;145962
TELEFONIA;2009;15881104.99;311579.29;15569525.7;2131554
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2011;15774133.46;321558.22;15524575.32;169573
COMBUSTÍVEIS E LUBRIFICANTES.;2014;15731375.19;424556.29;15223188.8;3529440
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2012;15336321.11;226837.08;15072541.3;154062
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2013;14886008.62;4800.3099999999995;14989455.17;127710
COMBUSTÍVEIS E LUBRIFICANTES.;2009;14278789.14;332689.74;13920481.03;3788069
PASSAGEM AÉREA - RPA;2021;13613953.33;0.0;13613953.33;749840
PASSAGEM AÉREA - SIGEPA;2020;13176864.14;0.0;13192361.9;843920
PASSAGEM AÉREA - RPA;2020;13162110.43;0.0;13162110.43;849128
TELEFONIA;2015;13354112.10904;264142.31;13004069.89;3610552
LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;2022;12324710.18;77897.52;12230109.29;151816
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2009;11861074.79;272024.79;11589050.0;981136
