txNomeParlamentar;sgPartido;codLegislatura;numAno;vlrDocumento;vlrGlosa;vlrLiquido;nomeEsgPartido
CHICO DAS VERDURAS;PRP;54;2014;575911.596;6761.5199999999995;1027331.58;CHICO DAS VERDURAS (PRP)
CHICO DAS VERDURAS;PRP;54;2013;497176.15895;2116.4700000000003;928078.42;CHICO DAS VERDURAS (PRP)
ROCHA;PSDB;55;2017;643380.25;2192.15;638888.58;ROCHA (PSDB)
ROCHA;PSDB;55;2016;632508.89;1951.78;629035.73;ROCHA (PSDB)
MARINALDO ROSENDO;PP;55;2018;626715.7;30.0;626685.7;MARINALDO ROSENDO (PP)
Edio Lopes;PR;55;2016;633857.6;111.53;621746.07;Edio Lopes (PR)
Edio Lopes;PR;55;2017;617208.0599999999;0.0;617208.0599999999;Edio Lopes (PR)
ABEL MESQUITA JR.;DEM;55;2016;619095.9400000001;11244.130000000001;607851.81;ABEL MESQUITA JR. (DEM)
ZÉ GERALDO;PT;55;2018;602308.45;11.8;602296.65;ZÉ GERALDO (PT)
Dulce Miranda;MDB;55;2016;602174.93;629.4;601452.57;Dulce Miranda (MDB)
ABEL MESQUITA JR.;DEM;55;2018;602544.59;14.299999999999999;601347.14;ABEL MESQUITA JR. (DEM)
JOZI ARAÚJO;PODE;55;2017;599118.43;1863.55;597254.88;JOZI ARAÚJO (PODE)
REMÍDIO MONAI;PR;55;2017;597415.65;1021.48;596394.17;REMÍDIO MONAI (PR)
GORETE PEREIRA;PR;55;2018;617759.5599999999;3849.82;595909.74;GORETE PEREIRA (PR)
Fábio Faria;PSD;55;2018;593249.1;2367.76;590881.34;Fábio Faria (PSD)
André Figueiredo;PDT;56;2021;593722.13;2934.93;590220.48;André Figueiredo (PDT)
Wolney Queiroz;PDT;55;2017;592115.57;4601.0;587514.57;Wolney Queiroz (PDT)
ZÉ GERALDO;PT;55;2017;617646.81;1197.37;586449.44;ZÉ GERALDO (PT)
Wolney Queiroz;PDT;55;2018;592810.18;6523.27;586286.91;Wolney Queiroz (PDT)
Soraya Santos;PR;55;2017;584915.56;230.39;584685.17;Soraya Santos (PR)
MARINHA RAUPP;MDB;55;2016;584658.52;1570.29;583088.23;MARINHA RAUPP (MDB)
Jhonatan de Jesus;PRB;55;2017;582913.79;220.5;582693.29;Jhonatan de Jesus (PRB)
CÉSAR MESSIAS;PSB;55;2017;580742.23;158.94;580583.29;CÉSAR MESSIAS (PSB)
Arthur Lira;PP;55;2018;580003.72;131.97;579871.75;Arthur Lira (PP)
MARIA HELENA;MDB;55;2017;580625.82;1078.17;579547.65;MARIA HELENA (MDB)
ABEL MESQUITA JR.;DEM;55;2017;579441.81;100.8;579341.01;ABEL MESQUITA JR. (DEM)
Leonardo Picciani;MDB;55;2015;576416.18;1056.54;575359.64;Leonardo Picciani (MDB)
Domingos Neto;PSD;55;2018;574615.3;0.0;574615.3;Domingos Neto (PSD)
Jhonatan de Jesus;PRB;55;2018;573585.01;0.0;573585.01;Jhonatan de Jesus (PRB)
BRUNO ARAÚJO;PSDB;55;2018;578718.69;5838.27;572880.42;BRUNO ARAÚJO (PSDB)
Leo de Brito;PT;55;2016;572717.44;267.12;571673.78;Leo de Brito (PT)
Flaviano Melo;MDB;55;2017;571510.83;469.15;571041.68;Flaviano Melo (MDB)
Danilo Cabral;PSB;55;2018;571002.95;27.31;570975.64;Danilo Cabral (PSB)
Alan Rick;DEM;55;2016;571792.18;585.8;569706.38;Alan Rick (DEM)
WLADIMIR COSTA;SOLIDARIEDADE;55;2018;569529.86;0.0;569529.86;WLADIMIR COSTA (SOLIDARIEDADE)
ARNALDO JORDY;PPS;55;2017;571638.96;2207.04;569431.92;ARNALDO JORDY (PPS)
Edio Lopes;PR;55;2015;568942.53;467.9;568107.68;Edio Lopes (PR)
Arlindo Chinaglia;PT;55;2018;640876.21;286.83;567389.38;Arlindo Chinaglia (PT)
Domingos Neto;PSD;55;2017;566953.74;0.0;566883.24;Domingos Neto (PSD)
FELIPE BORNIER;PROS;55;2016;568405.53;4.9399999999999995;566342.11;FELIPE BORNIER (PROS)
RÔMULO GOUVEIA;PSD;55;2017;566617.4;273.83;565048.81;RÔMULO GOUVEIA (PSD)
Eduardo Bismarck;PDT;56;2021;567000.36;1866.02;565038.64;Eduardo Bismarck (PDT)
MOISÉS DINIZ;PCdoB;55;2017;564801.61;33.47;564768.14;MOISÉS DINIZ (PCdoB)
Flaviano Melo;MDB;55;2018;566582.77;2651.31;563733.84;Flaviano Melo (MDB)
REMÍDIO MONAI;PR;55;2018;563380.85;172.48999999999998;563208.36;REMÍDIO MONAI (PR)
Leo de Brito;PT;55;2017;569450.78;476.6;562596.34;Leo de Brito (PT)
Edio Lopes;PR;55;2018;562286.87;0.0;562286.87;Edio Lopes (PR)
ROBERTO GÓES;PDT;55;2017;577805.82;6018.97;561729.78;ROBERTO GÓES (PDT)
REMÍDIO MONAI;PR;55;2016;562182.25;1218.8;560963.45;REMÍDIO MONAI (PR)
Aníbal Gomes;DEM;55;2018;563559.91;2613.98;560945.93;Aníbal Gomes (DEM)
Jesus Sérgio;PDT;56;2020;565843.45;119.88000000000001;559759.53;Jesus Sérgio (PDT)
Hiran Gonçalves;PP;55;2016;564252.8;4985.7699999999995;559267.03;Hiran Gonçalves (PP)
PEDRO FERNANDES;PTB;55;2017;560367.23;307.88;559019.73;PEDRO FERNANDES (PTB)
André Figueiredo;PDT;55;2017;558846.77;780.94;558065.83;André Figueiredo (PDT)
Aguinaldo Ribeiro;PP;55;2016;558644.5;453.95;557996.64;Aguinaldo Ribeiro (PP)
Paes Landim;PTB;55;2018;558100.6;108.7;557648.9;Paes Landim (PTB)
CARLOS ANDRADE;PHS;55;2018;559874.88;2445.19;557429.6900000001;CARLOS ANDRADE (PHS)
Daniel Coelho;CIDADANIA;56;2019;560607.52;4137.55;556469.97;Daniel Coelho (CIDADANIA)
Jhonatan de Jesus;REPUBLICANOS;56;2020;556267.52;0.0;556267.52;Jhonatan de Jesus (REPUBLICANOS)
Jéssica Sales;MDB;55;2016;558069.17;2440.4300000000003;555628.74;Jéssica Sales (MDB)
Flaviano Melo;MDB;55;2016;555862.47;641.47;555221.0;Flaviano Melo (MDB)
Hiran Gonçalves;PP;55;2017;557066.05;2225.6;554840.45;Hiran Gonçalves (PP)
Jéssica Sales;MDB;55;2018;559670.39;4840.0;554830.39;Jéssica Sales (MDB)
Beto Faro;PT;55;2018;563251.33;5133.33;554684.58;Beto Faro (PT)
CARLOS ANDRADE;PHS;55;2016;560337.82;6052.76;554285.06;CARLOS ANDRADE (PHS)
Jhonatan de Jesus;PRB;55;2016;553786.59;0.0;553786.59;Jhonatan de Jesus (PRB)
CARLOS ANDRADE;PHS;55;2017;556050.83;2383.03;553667.8;CARLOS ANDRADE (PHS)
Alan Rick;DEM;55;2017;559306.28;5439.1;553651.18;Alan Rick (DEM)
ANGELIM;PT;55;2017;559261.39;2215.43;553477.55;ANGELIM (PT)
MARINHA RAUPP;MDB;55;2017;553759.89;440.61;553319.28;MARINHA RAUPP (MDB)
MARINHA RAUPP;MDB;55;2018;552187.38;25.13;552162.25;MARINHA RAUPP (MDB)
Henrique Fontana;PT;55;2017;558475.11;6166.0;551263.18;Henrique Fontana (PT)
Silas Câmara;PRB;55;2017;551258.92;0.0;551258.92;Silas Câmara (PRB)
Perpétua Almeida;PCdoB;56;2019;555678.39;4437.92;551240.47;Perpétua Almeida (PCdoB)
CABO SABINO;AVANTE;55;2017;551435.92;597.66;550838.26;CABO SABINO (AVANTE)
MARINALDO ROSENDO;PP;55;2017;550675.65;40.7;550634.95;MARINALDO ROSENDO (PP)
Lucio Mosquini;MDB;55;2017;550618.1;147.8;550470.3;Lucio Mosquini (MDB)
Danilo Cabral;PSB;55;2017;550413.87;39.05;550374.82;Danilo Cabral (PSB)
Fábio Faria;PSD;55;2017;560889.87;4432.969999999999;550289.35;Fábio Faria (PSD)
Tadeu Alencar;PSB;55;2017;553569.81;820.29;550126.37;Tadeu Alencar (PSB)
Joaquim Passarinho;PSD;55;2016;550154.42;31.200000000000003;550123.22;Joaquim Passarinho (PSD)
MARIA HELENA;MDB;55;2016;550282.28;402.53999999999996;549879.74;MARIA HELENA (MDB)
WLADIMIR COSTA;SOLIDARIEDADE;55;2017;559959.76;0.0;549608.4400000001;WLADIMIR COSTA (SOLIDARIEDADE)
Silas Câmara;PRB;55;2018;549265.9;0.0;549265.9;Silas Câmara (PRB)
Juscelino Filho;DEM;55;2018;558899.08;9736.9;549162.18;Juscelino Filho (DEM)
Vinicius Gurgel;PR;55;2017;549062.39;0.0;549062.39;Vinicius Gurgel (PR)
Nilson Pinto;PSDB;55;2017;551224.99;2421.9;548803.09;Nilson Pinto (PSDB)
ZENAIDE MAIA;PHS;55;2016;548797.89;80.93;548706.59;ZENAIDE MAIA (PHS)
Jesus Sérgio;PDT;56;2021;548326.46;0.0;548326.46;Jesus Sérgio (PDT)
LUCIANA SANTOS;PCdoB;55;2018;549015.36;1179.47;547835.89;LUCIANA SANTOS (PCdoB)
Henrique Fontana;PT;55;2016;552926.1900000001;5231.86;547694.33;Henrique Fontana (PT)
Fábio Faria;PSD;55;2016;553477.53;3722.18;547672.27;Fábio Faria (PSD)
ARNALDO JORDY;PPS;55;2018;554139.8;6861.43;547278.37;ARNALDO JORDY (PPS)
Danilo Forte;PSDB;55;2017;551403.72;3869.66;547019.41;Danilo Forte (PSDB)
Perpétua Almeida;PCdoB;56;2021;550464.03;3455.57;547008.46;Perpétua Almeida (PCdoB)
MACEDO;PP;55;2018;546891.3;0.0;546891.3;MACEDO (PP)
Vinicius Gurgel;PR;55;2016;546873.54;0.0;546873.54;Vinicius Gurgel (PR)
HISSA ABRAHÃO;PDT;55;2018;546344.22;0.0;546344.22;HISSA ABRAHÃO (PDT)
GORETE PEREIRA;PR;55;2017;548226.05;1926.74;546299.31;GORETE PEREIRA (PR)
PEDRO FERNANDES;PTB;55;2016;547138.03;941.54;546196.49;PEDRO FERNANDES (PTB)
Jéssica Sales;MDB;55;2017;554510.7;0.0;545510.7;Jéssica Sales (MDB)
JOSÉ OTÁVIO GERMANO;PP;55;2018;544770.14;159.29000000000002;544610.85;JOSÉ OTÁVIO GERMANO (PP)
André Figueiredo;PDT;55;2018;548124.45;3739.64;544384.81;André Figueiredo (PDT)
SILVIO COSTA;AVANTE;55;2016;544136.66;292.53000000000003;543844.13;SILVIO COSTA (AVANTE)
JOZI ARAÚJO;PODE;55;2018;547936.14;4337.41;543598.73;JOZI ARAÚJO (PODE)
MARIA HELENA;MDB;55;2018;552437.13;9150.73;543286.34;MARIA HELENA (MDB)
JUNIOR MARRECA;PATRI;55;2017;543258.29;42.81;543215.48;JUNIOR MARRECA (PATRI)
André Fufuca;PP;55;2017;543853.47;530.0;543207.23;André Fufuca (PP)
Rafael Motta;PSB;55;2018;546063.43;3016.41;543047.02;Rafael Motta (PSB)
ANDRE MOURA;PSC;55;2017;542923.8;0.0;542923.8;ANDRE MOURA (PSC)
CHICO LOPES;PCdoB;55;2017;543206.07;347.43;542858.64;CHICO LOPES (PCdoB)
RAIMUNDO GOMES DE MATOS;PSDB;55;2017;544329.16;1303.98;542692.27;RAIMUNDO GOMES DE MATOS (PSDB)
Edio Lopes;PMDB;54;2014;549432.28227;6754.65;542677.63;Edio Lopes (PMDB)
Daniel Coelho;PPS;55;2018;545014.46;2941.45;542073.01;Daniel Coelho (PPS)
Ottaci Nascimento;SOLIDARIEDADE;56;2021;543456.96;1427.83;542029.13;Ottaci Nascimento (SOLIDARIEDADE)
Paes Landim;PTB;55;2016;542686.39;694.15;541992.24;Paes Landim (PTB)
Dagoberto Nogueira;PDT;55;2018;551361.33;7427.9;541901.53;Dagoberto Nogueira (PDT)
Joenia Wapichana;REDE;56;2021;541977.01;174.14;541802.87;Joenia Wapichana (REDE)
Expedito Netto;PSD;55;2016;546372.46;4302.18;541070.44;Expedito Netto (PSD)
José Guimarães;PT;55;2017;546612.0;3910.63;540881.37;José Guimarães (PT)
Edio Lopes;PL;56;2021;540693.51;0.0;540693.51;Edio Lopes (PL)
ZENAIDE MAIA;PHS;55;2017;540500.82;2.7800000000000002;540498.04;ZENAIDE MAIA (PHS)
ANGELIM;PT;55;2018;551170.72;11141.05;539747.41;ANGELIM (PT)
WILSON FILHO;PTB;55;2017;539751.57;345.08;539406.49;WILSON FILHO (PTB)
Capitão Alberto Neto;PL;56;2021;560991.13;13.11;539315.02;Capitão Alberto Neto (PL)
JOSUÉ BENGTSON;PTB;55;2018;541213.79;1927.72;539286.07;JOSUÉ BENGTSON (PTB)
Edmilson Rodrigues;PSOL;55;2017;539541.64;463.8;539077.84;Edmilson Rodrigues (PSOL)
Paes Landim;PTB;55;2017;539704.13;805.74;538898.39;Paes Landim (PTB)
ZENAIDE MAIA;PHS;55;2018;539161.62;375.27;538786.35;ZENAIDE MAIA (PHS)
Tadeu Alencar;PSB;55;2018;540334.97;1153.18;538781.79;Tadeu Alencar (PSB)
Leo de Brito;PT;56;2021;541210.49;165.28;538766.56;Leo de Brito (PT)
PEDRO FERNANDES;PTB;55;2018;539942.73;33.519999999999996;538648.12;PEDRO FERNANDES (PTB)
Marcelo Ramos;PSD;56;2020;538579.68;224.81;538354.87;Marcelo Ramos (PSD)
JOSUÉ BENGTSON;PTB;55;2017;542331.8;4062.7200000000003;538269.08;JOSUÉ BENGTSON (PTB)
Dulce Miranda;MDB;55;2017;538006.61;164.09;537842.52;Dulce Miranda (MDB)
André Abdon;PP;55;2017;548186.21;10040.73;537822.88;André Abdon (PP)
SIMONE MORGADO;MDB;55;2017;539910.94;358.64;537616.0;SIMONE MORGADO (MDB)
RÔMULO GOUVEIA;PSD;55;2016;541495.81;2131.82;537597.58;RÔMULO GOUVEIA (PSD)
LINDOMAR GARÇON;PRB;55;2017;540688.06;3191.7799999999997;537496.28;LINDOMAR GARÇON (PRB)
Átila Lins;PP;55;2017;537629.58;287.62;537341.96;Átila Lins (PP)
ZÉ GERALDO;PT;55;2016;567232.16;388.25;536843.91;ZÉ GERALDO (PT)
Moses Rodrigues;MDB;55;2017;536842.77;81.25999999999999;536761.51;Moses Rodrigues (MDB)
LINDOMAR GARÇON;PRB;55;2018;542689.67;6013.32;536676.35;LINDOMAR GARÇON (PRB)
MANOEL JUNIOR;MDB;55;2016;540518.75;3316.35;536283.65;MANOEL JUNIOR (MDB)
LINDOMAR GARÇON;PRB;55;2016;561421.53;369.74;536051.79;LINDOMAR GARÇON (PRB)
MARCOS ROGÉRIO;DEM;55;2017;572576.72;6437.34;535592.9;MARCOS ROGÉRIO (DEM)
Wellington Roberto;PR;55;2015;594274.91;167.51;535538.75;Wellington Roberto (PR)
FELIPE BORNIER;PROS;55;2017;535338.63;24.580000000000002;535233.73;FELIPE BORNIER (PROS)
ARNALDO JORDY;PPS;55;2016;537566.41;2548.34;535018.07;ARNALDO JORDY (PPS)
ELIZIANE GAMA;PPS;55;2017;534966.99;0.0;534966.99;ELIZIANE GAMA (PPS)
Mara Rocha;MDB;56;2021;539504.45;2049.02;534960.46;Mara Rocha (MDB)
LUIZ CLÁUDIO;PR;55;2016;536050.66;1045.57;534741.77;LUIZ CLÁUDIO (PR)
JOSE STÉDILE;PSB;55;2018;534922.85;573.51;534349.34;JOSE STÉDILE (PSB)
Danilo Forte;PSDB;55;2018;537959.54;3673.75;534285.79;Danilo Forte (PSDB)
Ottaci Nascimento;SOLIDARIEDADE;56;2019;543180.12;8481.5;534056.06;Ottaci Nascimento (SOLIDARIEDADE)
Joaquim Passarinho;PSD;55;2017;535086.13;1100.22;533985.91;Joaquim Passarinho (PSD)
Jéssica Sales;MDB;56;2021;533942.71;0.0;533942.71;Jéssica Sales (MDB)
Hildo Rocha;MDB;55;2017;534034.85;0.0;533777.29;Hildo Rocha (MDB)
Silas Câmara;PRB;55;2016;548262.87;3187.01;533603.06;Silas Câmara (PRB)
Tadeu Alencar;PSB;55;2016;537120.28;245.58;533374.7;Tadeu Alencar (PSB)
JUNIOR MARRECA;PATRI;55;2016;543424.98;7965.73;533359.25;JUNIOR MARRECA (PATRI)
LÁZARO BOTELHO;PP;55;2018;536079.42;2779.7000000000003;533299.72;LÁZARO BOTELHO (PP)
Jhonatan de Jesus;PRB;55;2015;533924.62;1007.5;532917.15;Jhonatan de Jesus (PRB)
Osmar Terra;MDB;55;2015;539239.53;5841.1900000000005;532899.84;Osmar Terra (MDB)
Jhonatan de Jesus;REPUBLICANOS;56;2021;534211.64;0.0;532760.44;Jhonatan de Jesus (REPUBLICANOS)
José Airton Félix Cirilo;PT;55;2017;533284.67;533.94;532750.73;José Airton Félix Cirilo (PT)
SILVIO COSTA;AVANTE;55;2017;532917.61;205.57;532712.04;SILVIO COSTA (AVANTE)
LUIZ CARLOS BUSATO;PTB;55;2016;535067.84;1721.21;532538.39;LUIZ CARLOS BUSATO (PTB)
Juscelino Filho;DEM;55;2017;537145.6;4698.45;532447.15;Juscelino Filho (DEM)
LUIZ CLÁUDIO;PR;55;2017;532915.32;586.98;532328.34;LUIZ CLÁUDIO (PR)
SILVIO COSTA;AVANTE;55;2018;534186.07;1910.4799999999998;532275.59;SILVIO COSTA (AVANTE)
CÉSAR HALUM;PRB;55;2018;536296.22;2261.7200000000003;532234.5;CÉSAR HALUM (PRB)
Danilo Forte;PSDB;55;2016;535679.43;3491.27;532132.12;Danilo Forte (PSDB)
Jerônimo Goergen;PP;55;2017;540009.0;1419.98;531860.93;Jerônimo Goergen (PP)
Ronaldo Martins;PRB;55;2018;533157.55;1297.12;531860.43;Ronaldo Martins (PRB)
Leônidas Cristino;PDT;55;2017;533025.39;232.93;531790.89;Leônidas Cristino (PDT)
Júlio Cesar;PSD;55;2016;531728.65;233.99;531494.66;Júlio Cesar (PSD)
HISSA ABRAHÃO;PDT;55;2017;531368.65;3.96;531364.69;HISSA ABRAHÃO (PDT)
Odorico Monteiro;PSB;55;2018;539819.98;8676.19;530556.79;Odorico Monteiro (PSB)
ROBERTO GÓES;PDT;55;2016;530327.85;57.99;530269.86;ROBERTO GÓES (PDT)
Zé Carlos;PT;55;2016;530838.23;1262.0;529576.23;Zé Carlos (PT)
CABO SABINO;AVANTE;55;2018;532365.36;2535.48;529445.47;CABO SABINO (AVANTE)
Domingos Neto;PSD;55;2016;529851.96;442.89;529409.07;Domingos Neto (PSD)
BENJAMIN MARANHÃO;MDB;55;2017;534137.5;4505.32;529337.11;BENJAMIN MARANHÃO (MDB)
Pedro Uczai;PT;55;2018;538187.47;8921.039999999999;529227.03;Pedro Uczai (PT)
Hiran Gonçalves;PP;55;2018;530828.15;1731.87;529096.28;Hiran Gonçalves (PP)
Wellington Roberto;PR;55;2016;529582.37;491.93;529090.4400000001;Wellington Roberto (PR)
FELIPE BORNIER;PROS;55;2015;530054.18;10.89;528913.84;FELIPE BORNIER (PROS)
Victor Mendes;MDB;55;2018;530926.06;1024.63;528901.43;Victor Mendes (MDB)
RENATO MOLLING;PP;55;2018;543866.93;15102.949999999999;528763.98;RENATO MOLLING (PP)
Hildo Rocha;MDB;55;2018;530915.21;0.0;528576.26;Hildo Rocha (MDB)
Odorico Monteiro;PSB;55;2017;529128.83;580.16;528548.67;Odorico Monteiro (PSB)
João Maia;PL;56;2020;528538.24;13.0;528525.24;João Maia (PL)
Dra. Vanda Milani;PROS;56;2021;529011.82;600.5;528411.32;Dra. Vanda Milani (PROS)
Elcione Barbalho;MDB;55;2017;530160.86;1706.09;528318.9;Elcione Barbalho (MDB)
Beto Rosado;PP;55;2016;548978.95;1691.18;528267.0;Beto Rosado (PP)
Onyx Lorenzoni;DEM;55;2016;530344.62;2006.53;528246.97;Onyx Lorenzoni (DEM)
NILTON CAPIXABA;PTB;55;2017;529193.94;502.40000000000003;528145.51;NILTON CAPIXABA (PTB)
Alice Portugal;PCdoB;55;2017;529055.32;912.3000000000001;528143.02;Alice Portugal (PCdoB)
SIMONE MORGADO;MDB;55;2018;531145.76;1534.06;528075.12;SIMONE MORGADO (MDB)
RAIMUNDO GOMES DE MATOS;PSDB;55;2018;529517.83;129.67;528029.46;RAIMUNDO GOMES DE MATOS (PSDB)
MARCOS REATEGUI;PSD;55;2017;528008.85;0.0;528008.85;MARCOS REATEGUI (PSD)
RONALDO NOGUEIRA;PTB;55;2018;528937.93;1045.2;527892.73;RONALDO NOGUEIRA (PTB)
Jéssica Sales;MDB;56;2020;527888.72;28.96;527859.76;Jéssica Sales (MDB)
Vinicius Gurgel;PR;55;2018;527770.37;0.0;527770.37;Vinicius Gurgel (PR)
Ronaldo Martins;PRB;55;2017;528122.48;413.73;527708.75;Ronaldo Martins (PRB)
José Guimarães;PT;55;2018;531011.58;3359.61;527651.97;José Guimarães (PT)
General Girão;PL;56;2021;529951.57;2285.02;527366.55;General Girão (PL)
José Guimarães;PT;55;2016;529934.82;2571.69;527363.13;José Guimarães (PT)
Wellington Roberto;PL;56;2020;546261.03;0.0;527261.03;Wellington Roberto (PL)
Beto Faro;PT;55;2017;527809.63;78.19;527218.58;Beto Faro (PT)
Aguinaldo Ribeiro;PP;55;2018;537357.35;10171.15;527180.12;Aguinaldo Ribeiro (PP)
João Marcelo Souza;MDB;55;2016;529941.67;2854.52;527087.15;João Marcelo Souza (MDB)
MARCOS REATEGUI;PSD;55;2016;527207.06;189.66;527017.4;MARCOS REATEGUI (PSD)
Leda Sadala;PP;56;2020;527441.98;469.55;526972.43;Leda Sadala (PP)
Flaviano Melo;MDB;56;2021;527205.21;245.0;526960.21;Flaviano Melo (MDB)
Elcione Barbalho;MDB;55;2016;527374.18;497.26;526876.92;Elcione Barbalho (MDB)
Hélio Leite;DEM;55;2016;527849.08;1012.01;526837.07;Hélio Leite (DEM)
Ronaldo Martins;PRB;55;2016;527790.0;999.51;526790.49;Ronaldo Martins (PRB)
Shéridan;PSDB;56;2021;527081.59;296.69;526745.16;Shéridan (PSDB)
BETO SALAME;PP;55;2016;538228.54;549.35;526541.44;BETO SALAME (PP)
RAIMUNDO GOMES DE MATOS;PSDB;55;2016;538023.36;4337.97;526485.39;RAIMUNDO GOMES DE MATOS (PSDB)
NILTON CAPIXABA;PTB;55;2016;526743.61;300.25;526443.36;NILTON CAPIXABA (PTB)
Efraim Filho;DEM;55;2016;533504.78;554.64;526346.97;Efraim Filho (DEM)
JARBAS VASCONCELOS;MDB;55;2018;527586.36;1429.21;526157.15;JARBAS VASCONCELOS (MDB)
Alan Rick;UNIÃO;56;2019;527905.19;560.58;526093.13;Alan Rick (UNIÃO)
Beto Faro;PT;55;2016;529081.03;3158.26;525922.77;Beto Faro (PT)
Expedito Netto;PSD;55;2017;531507.02;5522.32;525870.63;Expedito Netto (PSD)
Rubens Pereira Júnior;PCdoB;55;2017;564512.92;2613.79;525721.76;Rubens Pereira Júnior (PCdoB)
Henrique Fontana;PT;55;2018;532204.75;6694.04;525510.71;Henrique Fontana (PT)
Guilherme Mussi;PP;55;2017;525425.54;0.0;525425.54;Guilherme Mussi (PP)
Soraya Santos;PL;56;2019;525502.53;99.80000000000001;525402.73;Soraya Santos (PL)
Soraya Santos;PR;55;2016;527893.96;2493.58;525400.38;Soraya Santos (PR)
Darcísio Perondi;MDB;55;2017;525953.24;696.3;525256.94;Darcísio Perondi (MDB)
Efraim Filho;UNIÃO;56;2021;525957.22;574.21;525197.05;Efraim Filho (UNIÃO)
Marcelo Ramos;PSD;56;2021;526218.74;1064.37;525154.37;Marcelo Ramos (PSD)
Carla Dickson;UNIÃO;56;2021;527347.24;115.53;525105.03;Carla Dickson (UNIÃO)
Arthur Lira;PP;55;2017;525131.62;228.41;524903.21;Arthur Lira (PP)
Hildo Rocha;MDB;55;2016;524732.05;0.0;524732.05;Hildo Rocha (MDB)
JOÃO DERLY;REDE;55;2016;526176.43;1506.8400000000001;524669.59;JOÃO DERLY (REDE)
José Priante;MDB;56;2019;526276.59;1714.77;524561.82;José Priante (MDB)
Dagoberto Nogueira;PDT;55;2017;528974.32;4722.61;524251.71;Dagoberto Nogueira (PDT)
LÚCIO VALE;PR;55;2017;528616.76;4443.37;524173.39;LÚCIO VALE (PR)
RODRIGO MARTINS;PSB;55;2016;525540.74;1376.83;524163.91;RODRIGO MARTINS (PSB)
SIMONE MORGADO;MDB;55;2016;524014.32;9.8;524004.52;SIMONE MORGADO (MDB)
Antonio Brito;PSD;56;2019;528424.46;2478.44;523992.06;Antonio Brito (PSD)
JANETE CAPIBERIBE;PSB;55;2016;524135.05;162.6;523972.45;JANETE CAPIBERIBE (PSB)
FELIPE BORNIER;PROS;55;2018;523872.4;31.3;523841.10000000003;FELIPE BORNIER (PROS)
Rubens Pereira Júnior;PCdoB;55;2016;524820.86;1064.41;523756.45;Rubens Pereira Júnior (PCdoB)
GLADSON CAMELI;PP**;54;2014;529508.30506;5782.4800000000005;523725.82;GLADSON CAMELI (PP**)
Luizianne Lins;PT;55;2018;533661.52;10086.17;523575.35;Luizianne Lins (PT)
Genecias Noronha;SOLIDARIEDADE;55;2016;524059.86;493.82000000000005;523566.04;Genecias Noronha (SOLIDARIEDADE)
Moses Rodrigues;MDB;55;2018;523947.27;421.82;523525.45;Moses Rodrigues (MDB)
Efraim Filho;DEM;55;2017;527608.55;1119.58;523488.97;Efraim Filho (DEM)
JOÃO FERNANDO COUTINHO;PROS;55;2018;523809.18;489.43;523319.75;JOÃO FERNANDO COUTINHO (PROS)
Afonso Motta;PDT;56;2019;528427.64;2180.4500000000003;523188.89;Afonso Motta (PDT)
SÁGUAS MORAES;PT;55;2016;525893.27;740.16;523166.56;SÁGUAS MORAES (PT)
Aline Gurgel;REPUBLICANOS;56;2020;523072.03;13.9;523058.13;Aline Gurgel (REPUBLICANOS)
Marcon;PT;55;2017;524789.64;1773.8600000000001;523015.78;Marcon (PT)
HISSA ABRAHÃO;PDT;55;2016;540974.56;18000.0;522974.56;HISSA ABRAHÃO (PDT)
Silas Câmara;REPUBLICANOS;56;2020;522991.23;88.41;522902.82;Silas Câmara (REPUBLICANOS)
CABUÇU BORGES;MDB;55;2016;529036.99;33.0;522738.05;CABUÇU BORGES (MDB)
BRUNO ARAÚJO;PSDB;54;2014;525605.21313;2870.23;522735.0;BRUNO ARAÚJO (PSDB)
BENJAMIN MARANHÃO;MDB;55;2018;523726.87;1016.9599999999999;522709.91;BENJAMIN MARANHÃO (MDB)
Camilo Capiberibe;PSB;56;2021;532801.98;4398.68;522706.26;Camilo Capiberibe (PSB)
VENEZIANO VITAL DO RÊGO;PSB;55;2017;524069.66;1432.26;522637.4;VENEZIANO VITAL DO RÊGO (PSB)
André Abdon;PP;55;2018;529426.5;6888.71;522537.79;André Abdon (PP)
GORETE PEREIRA;PR;55;2016;555624.19;4292.96;522261.23;GORETE PEREIRA (PR)
Perpétua Almeida;PCdoB;56;2020;523286.02;1079.08;522206.94;Perpétua Almeida (PCdoB)
JUNIOR MARRECA;PATRI;55;2018;522138.71;0.0;522138.71;JUNIOR MARRECA (PATRI)
Silas Câmara;REPUBLICANOS;56;2021;522282.76;149.52;522133.24;Silas Câmara (REPUBLICANOS)
Bosco Saraiva;SOLIDARIEDADE;56;2021;522346.94;214.94;522132.0;Bosco Saraiva (SOLIDARIEDADE)
ROGÉRIO MARINHO;PSDB;55;2017;521886.28;0.0;521886.28;ROGÉRIO MARINHO (PSDB)
Cleber Verde;PRB;55;2017;526613.56;567.42;521712.64;Cleber Verde (PRB)
Wolney Queiroz;PDT;56;2021;525423.7;3801.53;521622.17;Wolney Queiroz (PDT)
LUANA COSTA;PSC;55;2018;523056.83;1565.52;521491.31;LUANA COSTA (PSC)
JOSUÉ BENGTSON;PTB;55;2016;524425.32;3153.97;521271.35;JOSUÉ BENGTSON (PTB)
Beto Rosado;PP;55;2017;522815.05;1653.84;521161.21;Beto Rosado (PP)
