txNomeParlamentar;sgPartido;codLegislatura;numAno;vlrDocumento;vlrGlosa;vlrLiquido;nomeEsgPartido
OSMAR JÚNIOR;PCdoB;54;2015;39459.49;0.0;38272.29;OSMAR JÚNIOR (PCdoB)
JOÃO ANANIAS;PCdoB;54;2015;39472.0168;1216.11;38255.91;JOÃO ANANIAS (PCdoB)
DOMINGOS DUTRA;SDD;54;2015;38329.748999999996;0.0;38252.45;DOMINGOS DUTRA (SDD)
DR. LUIZ FERNANDO;PSD;54;2015;38256.68;0.0;38206.24;DR. LUIZ FERNANDO (PSD)
GIVALDO CARIMBÃO;AVANTE;55;2019;38165.41;0.0;38165.41;GIVALDO CARIMBÃO (AVANTE)
FELIPE SOUZA;PHS;55;2019;38164.31;0.0;38164.31;FELIPE SOUZA (PHS)
MISSIONÁRIO JOSÉ OLIMPIO;DEM;55;2019;38160.89;0.0;38160.89;MISSIONÁRIO JOSÉ OLIMPIO (DEM)
CARLOS MARTINS;PT;54;2015;38103.37;0.0;38103.37;CARLOS MARTINS (PT)
Fábio Ramalho;MDB;55;2019;38227.729999999996;137.61;38090.12;Fábio Ramalho (MDB)
DAVI ALVES SILVA JÚNIOR;PR;54;2015;38051.17647;0.0;38051.18;DAVI ALVES SILVA JÚNIOR (PR)
Mauro Lopes;MDB;55;2019;39115.57;1071.05;38044.520000000004;Mauro Lopes (MDB)
Dr. Gonçalo;REPUBLICANOS;56;2019;38043.31;0.0;38043.31;Dr. Gonçalo (REPUBLICANOS)
Delegado Waldir;PSL;55;2017;38031.84;0.0;38031.84;Delegado Waldir (PSL)
Jhonatan de Jesus;PRB;55;2019;37993.9;0.0;37993.9;Jhonatan de Jesus (PRB)
Darcísio Perondi;MDB;55;2019;37991.21;0.0;37991.21;Darcísio Perondi (MDB)
JOSÉ AUGUSTO MAIA;PROS;54;2015;37941.4;0.0;37941.4;JOSÉ AUGUSTO MAIA (PROS)
Márcio Biolchi;MDB;55;2019;38008.29;136.68;37871.61;Márcio Biolchi (MDB)
FERNANDO TORRES;PSD;55;2019;37818.82;0.0;37818.82;FERNANDO TORRES (PSD)
JOSÉ OTÁVIO GERMANO;PP**;54;2015;37810.29;0.0;37810.29;JOSÉ OTÁVIO GERMANO (PP**)
MARCO TEBALDI;PSDB;55;2019;38350.68;542.61;37808.07;MARCO TEBALDI (PSDB)
BETO MANSUR;MDB;55;2019;37934.43;54.64;37771.79;BETO MANSUR (MDB)
Iracema Portella;PP;55;2019;37763.02;0.89;37762.13;Iracema Portella (PP)
Patricia Ferraz;PODE;56;2019;37652.02;0.0;37652.02;Patricia Ferraz (PODE)
CHICO DAS VERDURAS;PRP;54;2012;18918.18;33.410000000000004;37630.38;CHICO DAS VERDURAS (PRP)
RENATO MOLLING;PP**;54;2015;37806.74;167.38;37605.86;RENATO MOLLING (PP**)
JOSÉ OTÁVIO GERMANO;PP;55;2019;37582.41;0.0;37582.41;JOSÉ OTÁVIO GERMANO (PP)
WILSON FILHO;PTB;54;2015;37585.2;14.51;37570.69;WILSON FILHO (PTB)
Nilson F. Stainsack;PP;56;2020;37847.74;34.53;37557.13;Nilson F. Stainsack (PP)
Assis Carvalho;PT;54;2015;37595.5071;52.37;37543.14;Assis Carvalho (PT)
Jorge Goetten;PL;56;2020;37550.57;18.0;37532.57;Jorge Goetten (PL)
Paulo Foletto;PSB;55;2019;37512.31;40.0;37472.31;Paulo Foletto (PSB)
Vander Loubet;PT;54;2015;37475.72;33.51;37442.21;Vander Loubet (PT)
Fábio Faria;PMN;53;2011;37440.74;1.05;37439.69;Fábio Faria (PMN)
ADALBERTO CAVALCANTI;AVANTE;55;2019;37422.25;0.0;37422.25;ADALBERTO CAVALCANTI (AVANTE)
Luiz Lauro Filho;PSDB;56;2019;37401.56;0.0;37401.56;Luiz Lauro Filho (PSDB)
Gastão Vieira;PMDB;54;2015;37342.758;0.0;37342.76;Gastão Vieira (PMDB)
Wellington Roberto;PR;55;2019;37332.49;0.0;37332.49;Wellington Roberto (PR)
SANDRA ROSADO;PSB;54;2015;37742.44;414.23;37328.21;SANDRA ROSADO (PSB)
JOSI NUNES;PROS;55;2019;37308.869999999995;0.0;37308.869999999995;JOSI NUNES (PROS)
Sandro Alex;PSD;55;2019;37277.46;0.0;37277.46;Sandro Alex (PSD)
EDSON PIMENTA;PSD;54;2015;37222.5;0.0;37222.5;EDSON PIMENTA (PSD)
Capitão Augusto;PR;55;2019;37325.26;66.13;37204.13;Capitão Augusto (PR)
Carlos Henrique Gaguim;DEM;55;2019;37417.03;251.25;37165.78;Carlos Henrique Gaguim (DEM)
Dr. Sinval Malheiros;PODE;55;2019;39293.9;36.32;37109.83;Dr. Sinval Malheiros (PODE)
JORGE TADEU MUDALEN;DEM;55;2019;37107.270000000004;16.43;37090.840000000004;JORGE TADEU MUDALEN (DEM)
ALEXANDRE VALLE;PR;55;2019;37090.310000000005;35.04;37055.270000000004;ALEXANDRE VALLE (PR)
MARCIO JUNQUEIRA;DEM;53;2011;37047.57;0.0;37047.57;MARCIO JUNQUEIRA (DEM)
ZECA DO PT;PT;55;2019;37005.92;0.0;37005.92;ZECA DO PT (PT)
